RIIVO NOOR, 101, -, 04.03.1973, , Anija vald
HELI KARU, 102, -, 16.07.1971, , Anija vald
MARGUS NÕLVAK, 103, -, 07.01.1984, , Anija vald
URVE KÜLV, 104, -, 10.09.1971, , Anija vald
RANNO SOOTS, 105, -, 01.11.1966, , Anija vald
ANNE ORUAAS, 106, -, 05.09.1953, , Anija vald
AARE NURM, 107, -, 01.11.1982, , Anija vald
KERLI KIVISOO, 108, -, 05.06.1983, , Anija vald
RENE KAALO, 109, -, 05.01.1980, , Anija vald
INGRID JÄRMUT, 110, -, 11.05.1986, , Anija vald
ERIK JÜRIÖÖ, 111, -, 10.08.1985, , Anija vald
PRIIT RAUDKIVI, 112, -, 07.10.1981, , Anija vald
VIKTOR KROPATŠJOV, 113, -, 30.10.1961, , Anija vald
TOOMAS TÕNISE, 114, -, 24.10.1952, , Anija vald
SVEN LUKS, 115, ISAMAA Erakond, 31.07.1968, , Anija vald
ENN PUNG, 116, -, 20.07.1948, , Anija vald
VALDUR HÜVATO, 117, -, 01.03.1963, , Anija vald
TANEL TALVE, 118, Sotsiaaldemokraatlik Erakond, 13.08.1976, , Anija vald
PEEP KASK, 119, Eesti Reformierakond, 11.12.1978, , Anija vald
MAREK SUIK, 120, Eesti Reformierakond, 28.09.1982, , Anija vald
SIRLE SIREL, 121, Eesti Reformierakond, 21.09.1983, , Anija vald
TARVO MARIPUU, 122, -, 14.09.1987, , Anija vald
INGA KOITLA, 123, Eesti Reformierakond, 13.09.1984, , Anija vald
SAMIR MURADOV, 124, -, 27.04.1987, , Anija vald
LEA TURMANN, 125, Eesti Reformierakond, 24.06.1958, , Anija vald
IGOR GAITŠUK, 126, Eesti Reformierakond, 10.02.1981, , Anija vald
AWE MAKEJEV, 127, -, 18.10.1991, , Anija vald
JOONAS KUUSKLA, 128, -, 13.04.1996, , Anija vald
KAIRE ROOSIPUU, 129, Eesti Reformierakond, 06.03.1975, , Anija vald
SERGEI DÕMŠA, 130, -, 01.02.1977, , Anija vald
KÜLLIKI HERIS, 131, Eesti Reformierakond, 08.04.1962, , Anija vald
KALLE SAARMAS, 132, -, 01.11.1959, , Anija vald
MIHKEL KUUSE, 133, -, 15.04.1992, , Anija vald
JAANUS KALEV, 134, Eesti Keskerakond, 15.04.1965, , Anija vald
KAJA PIIRFELDT, 135, -, 31.10.1982, , Anija vald
HANNES PIKKEL, 136, Eesti Keskerakond, 28.03.1974, , Anija vald
NATALIJA JAKOVENKO, 137, -, 06.09.1961, , Anija vald
ANDRUS NILISK, 138, Eesti Keskerakond, 18.12.1970, , Anija vald
MARINA PETROVA, 139, Eesti Keskerakond, 04.05.1956, , Anija vald
JÜRI LILLSOO, 140, Eesti Keskerakond, 04.03.1943, , Anija vald
KÄTLIN TAKK, 141, Erakond Eesti 200, 19.02.1987, , Anija vald
INGA LEOKE-BOSENKO, 142, Eesti Keskerakond, 02.09.1977, , Anija vald
ERKO KRUUSAMÄGI, 143, -, 21.08.1988, , Anija vald
ENE KERB, 144, -, 25.09.1963, , Anija vald
INDREK LILLSOO, 145, Eesti Keskerakond, 22.02.1973, , Anija vald
JULIA TŠERNAVSKAJA, 146, -, 12.09.1986, , Anija vald
VJATŠESLAV KULBERG, 147, Eesti Keskerakond, 21.08.1975, , Anija vald
MAIA PÕLAJEVA, 148, -, 25.05.1974, , Anija vald
MATI KATTAI, 149, Eesti Keskerakond, 15.09.1956, , Anija vald
LJUDMILLA REIGO, 150, Eesti Keskerakond, 01.03.1955, , Anija vald
IGOR VORNA, 151, -, 02.02.1970, , Anija vald
MAIA ODRAS, 152, -, 05.05.1986, , Anija vald
MARGUS MIHHAILOV, 153, Eesti Keskerakond, 10.04.1966, , Anija vald
IRENA OTS, 154, -, 29.01.1979, , Anija vald
VALTER JÜRNA, 155, -, 27.04.1956, , Anija vald
ALEFTINA KLEMETS, 156, Eesti Keskerakond, 12.04.1950, , Anija vald
MARGUS MOLOK, 157, Eesti Konservatiivne Rahvaerakond, 13.03.1962, , Anija vald
TRIINU ALLIPERE, 158, Eesti Konservatiivne Rahvaerakond, 01.08.1977, , Anija vald
VEIKO MÄGI, 159, Eesti Konservatiivne Rahvaerakond, 12.05.1978, , Anija vald
IVAR NEIO, 160, Eesti Konservatiivne Rahvaerakond, 08.11.1971, , Anija vald
EIKE MÄGI, 161, Eesti Konservatiivne Rahvaerakond, 24.02.1982, , Anija vald
HENRI AASAMETS, 162, Eesti Konservatiivne Rahvaerakond, 29.04.1986, , Anija vald
KALMAR KÕIVOMÄGI, 163, Eesti Konservatiivne Rahvaerakond, 12.04.1974, , Anija vald
LAURI PAJUS, 164, Eesti Konservatiivne Rahvaerakond, 14.10.1984, , Anija vald
KAIRE PARVE, 165, Eesti Konservatiivne Rahvaerakond, 12.05.1966, , Anija vald
ARGO KIVI, 166, Eesti Konservatiivne Rahvaerakond, 21.04.1969, , Anija vald
MARIKA ANARI, 167, Eesti Konservatiivne Rahvaerakond, 28.09.1945, , Anija vald
URMAS PIISKOPPEL, 168, Eesti Konservatiivne Rahvaerakond, 29.03.1961, , Anija vald
TOOMAS TREIMAN, 169, Eesti Konservatiivne Rahvaerakond, 24.03.1977, , Anija vald
ESTER SIKKAR, 170, -, 11.11.1992, , Anija vald
KAAREL ARUSTE, 171, -, 10.04.1950, , Anija vald
ERMO PORKVELI, 172, -, 18.04.1968, , Anija vald
KATRINA ORUSALU, 173, -, 29.11.1981, , Anija vald
ROBERT ANTROPOV, 101, Eesti Keskerakond, 29.01.1965, , Harku vald
SERGEI GELLER, 102, Eesti Keskerakond, 05.11.1982, , Harku vald
GALINA KOSTÕLEVA, 103, Eesti Keskerakond, 14.07.1953, , Harku vald
SIRJE KILUMETS, 104, Eesti Keskerakond, 16.03.1959, , Harku vald
PIRET LÕOKE, 105, Eesti Keskerakond, 10.03.1971, , Harku vald
KERSTI LOORENS, 106, Eesti Keskerakond, 15.01.1970, , Harku vald
PRIIT KOTKAS, 107, -, 07.07.1970, , Harku vald
KALEV KONSA, 108, -, 09.12.1964, , Harku vald
VAL RAJASAAR, 109, Eesti Tulevikuerakond, 11.06.1968, , Harku vald
SABINA TRANKMANN, 110, -, 26.03.1970, , Harku vald
HEINART PUHKIM, 111, -, 15.01.1951, , Harku vald
MARTIN TALTS, 112, -, 14.06.1972, , Harku vald
KAIDO TABERLAND, 113, Erakond Eestimaa Rohelised, 22.02.1973, , Harku vald
AVO SIPELGAS, 114, -, 29.03.1963, , Harku vald
KADRI-PIIBE JÄRVE, 115, -, 27.11.1982, , Harku vald
ALVAR KRAUT, 116, -, 31.03.1969, , Harku vald
VALDO RÜÜTELMAA, 117, -, 23.05.1967, , Harku vald
MEELIS MEREKÜLA, 118, -, 10.04.1965, , Harku vald
EVE TOBIAS, 119, -, 26.04.1967, , Harku vald
AVO KIRSIPUU, 120, -, 19.06.1967, , Harku vald
JAANUS ISMAEL, 121, -, 02.10.1977, , Harku vald
KAIDO KREEK, 122, -, 19.08.1988, , Harku vald
MERLIN LINDE, 123, Erakond Eesti 200, 14.02.1992, , Harku vald
STIG ROGENBAUM, 124, Erakond Eesti 200, 31.12.1978, , Harku vald
MAIROLD VAIK, 125, -, 02.04.1976, , Harku vald
HELINA HAAVIK, 126, Erakond Eesti 200, 05.02.1982, , Harku vald
MAIT KORNET, 127, Erakond Eesti 200, 14.08.1949, , Harku vald
LIISA OVIIR, 128, Sotsiaaldemokraatlik Erakond, 01.03.1977, , Harku vald
HARDI VOLMER, 129, Sotsiaaldemokraatlik Erakond, 08.11.1957, , Harku vald
AULE KIKAS, 130, -, 20.01.1968, , Harku vald
TÕNU OJA, 131, -, 04.07.1958, , Harku vald
ARLIKA SILLAKIVI, 132, Sotsiaaldemokraatlik Erakond, 18.01.1980, , Harku vald
PRIIT SIITAN, 133, Sotsiaaldemokraatlik Erakond, 05.06.1955, , Harku vald
EVAR OJASAAR, 134, -, 25.06.1978, , Harku vald
MART EENSALU, 135, Eesti Reformierakond, 29.11.1977, , Harku vald
KATRIN KRAUSE, 136, Eesti Reformierakond, 16.02.1981, , Harku vald
ELO VÕHANDU, 137, Eesti Reformierakond, 17.01.1992, , Harku vald
OTT KASURI, 138, Eesti Reformierakond, 01.12.1955, , Harku vald
MARGUS VETSA, 139, -, 28.10.1971, , Harku vald
ERIK LEPIKSON, 140, -, 17.02.1984, , Harku vald
MARIS VIISILEHT, 141, Eesti Reformierakond, 10.06.1964, , Harku vald
ANDREI GUDIM, 142, Eesti Reformierakond, 10.01.1977, , Harku vald
URMAS AMBUR, 143, Eesti Reformierakond, 15.05.1975, , Harku vald
LEINO PANK, 144, -, 30.09.1972, , Harku vald
ARVI EIDISK, 145, Eesti Reformierakond, 21.05.1970, , Harku vald
GERLI LAHEK, 146, Eesti Reformierakond, 19.05.1976, , Harku vald
PILLE LAMP, 147, Eesti Reformierakond, 27.11.1977, , Harku vald
KATRE KUUSIK, 148, Eesti Reformierakond, 03.04.1973, , Harku vald
IVICA MÄGI, 149, -, 09.03.1978, , Harku vald
ARDO HEINARU, 150, Eesti Reformierakond, 22.05.1967, , Harku vald
EVELIN TIIRIK, 151, Eesti Reformierakond, 01.08.1978, , Harku vald
MONIKA OJALA, 152, -, 27.04.1984, , Harku vald
NEMO VUNK, 153, Eesti Reformierakond, 13.06.1979, , Harku vald
HEGLE VILIPUU, 154, Eesti Reformierakond, 07.11.1981, , Harku vald
ANDRUS JAAMUL, 155, -, 17.08.1969, , Harku vald
INGMAR LAATS, 156, Eesti Reformierakond, 01.11.1984, , Harku vald
HANNES REINOLA, 157, -, 15.06.1965, , Harku vald
TAIMI JÕGI, 158, Eesti Reformierakond, 15.11.1982, , Harku vald
HELI BÖTKER, 159, Eesti Reformierakond, 30.01.1963, , Harku vald
KAIRE TABERLAND, 160, Eesti Reformierakond, 17.11.1983, , Harku vald
MARKO NÜÜD, 161, Eesti Reformierakond, 18.09.1973, , Harku vald
RAUL TÕNISSAAR, 162, -, 03.02.1967, , Harku vald
MÄRT-ERLEND AGU, 163, -, 21.01.1965, , Harku vald
ETHEL REIER, 164, Eesti Reformierakond, 15.08.1966, , Harku vald
MARTIN NETZ, 165, Eesti Reformierakond, 20.05.1987, , Harku vald
GERT SILLING, 166, Eesti Reformierakond, 07.04.1974, , Harku vald
JAANUS HÄRMS, 167, Eesti Konservatiivne Rahvaerakond, 09.02.1973, , Harku vald
VYTAUTAS MARTINONIS, 168, -, 27.05.1968, , Harku vald
RIHO SAKSUS, 169, -, 04.08.1976, , Harku vald
HELIKAR ÕEPA, 170, ISAMAA Erakond, 30.05.1960, , Harku vald
KAUPO ANDRESON, 171, Eesti Konservatiivne Rahvaerakond, 27.10.1975, , Harku vald
ENELI HINNO, 172, -, 30.07.1969, , Harku vald
TOIVO TASA, 173, Eesti Konservatiivne Rahvaerakond, 21.12.1951, , Harku vald
